,俄罗斯,中国,印度,土耳其,美国,德国,意大利,法国,日本,英国,加拿大,澳大利亚,韩国
2015-01-31,50.0,60.0,20.0,12.0,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-02-28,50.94017094017094,60.72649572649573,20.256410256410255,12.001826283877566,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-03-31,51.88034188034188,61.452991452991455,20.51282051282051,12.007305135510263,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-04-30,52.82051282051282,62.17948717948718,20.76923076923077,12.016436554898092,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-05-31,53.76068376068376,62.9059829059829,21.025641025641026,12.029220542041054,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-06-30,54.7008547008547,63.63247863247863,21.28205128205128,12.045657096939149,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-07-31,55.64102564102564,64.35897435897436,21.53846153846154,12.065746219592373,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-08-31,56.58119658119658,65.08547008547009,21.794871794871796,12.08948791000073,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-09-30,57.52136752136752,65.8119658119658,22.05128205128205,12.116882168164219,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-10-31,58.46153846153846,66.53846153846153,22.307692307692307,12.14792899408284,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-11-30,59.401709401709404,67.26495726495726,22.564102564102562,12.182628387756592,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2015-12-31,60.34188034188034,67.99145299145299,22.82051282051282,12.220980349185478,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-01-31,61.282051282051285,68.71794871794872,23.076923076923077,12.262984878369494,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-02-29,62.22222222222222,69.44444444444444,23.333333333333332,12.308641975308642,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-03-31,63.16239316239316,70.17094017094017,23.58974358974359,12.357951640002922,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-04-30,64.1025641025641,70.8974358974359,23.846153846153847,12.410913872452333,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-05-31,65.04273504273505,71.62393162393163,24.102564102564102,12.467528672656877,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-06-30,65.98290598290598,72.35042735042735,24.358974358974358,12.527796040616554,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-07-31,66.92307692307692,73.07692307692308,24.615384615384613,12.591715976331361,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-08-31,67.86324786324786,73.80341880341881,24.871794871794872,12.659288479801301,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-09-30,68.80341880341881,74.52991452991454,25.128205128205128,12.730513551026371,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-10-31,69.74358974358975,75.25641025641025,25.384615384615383,12.805391190006574,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-11-30,70.68376068376068,75.98290598290598,25.641025641025642,12.88392139674191,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2016-12-31,71.62393162393163,76.7094017094017,25.897435897435898,12.966104171232377,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-01-31,72.56410256410257,77.43589743589743,26.153846153846153,13.051939513477976,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-02-28,73.5042735042735,78.16239316239316,26.41025641025641,13.141427423478707,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-03-31,74.44444444444444,78.88888888888889,26.666666666666664,13.234567901234568,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-04-30,75.38461538461539,79.61538461538461,26.923076923076923,13.331360946745562,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-05-31,76.32478632478632,80.34188034188034,27.17948717948718,13.431806560011688,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-06-30,77.26495726495726,81.06837606837607,27.435897435897434,13.535904741032947,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-07-31,78.2051282051282,81.7948717948718,27.692307692307693,13.643655489809337,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-08-31,79.14529914529915,82.52136752136752,27.94871794871795,13.755058806340857,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-09-30,80.08547008547009,83.24786324786325,28.205128205128204,13.870114690627512,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-10-31,81.02564102564102,83.97435897435898,28.46153846153846,13.988823142669297,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-11-30,81.96581196581197,84.7008547008547,28.717948717948715,14.111184162466214,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2017-12-31,82.90598290598291,85.42735042735043,28.974358974358974,14.237197750018264,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-01-31,83.84615384615384,86.15384615384616,29.23076923076923,14.366863905325443,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-02-28,84.78632478632478,86.88034188034189,29.487179487179485,14.500182628387757,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
