,日本,中国,英国,加拿大,印度,巴西,沙特阿拉伯,墨西哥,韩国,德国,法国,澳大利亚,意大利,印度尼西亚,南非,土耳其,阿根廷,俄罗斯
2015-01-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-02-28,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-03-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-04-30,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-05-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-06-30,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-07-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-08-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-09-30,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-10-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-11-30,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2015-12-31,1170.0,1270.0,125.0,65.0,115.0,250.0,95.0,75.0,115.0,55.0,45.0,50.0,35.0,35.0,12.0,45.0,5.0,90.0
2016-01-31,1167.9166666666667,1252.5,136.66666666666666,66.25,115.41666666666667,250.83333333333334,97.08333333333333,75.41666666666667,114.58333333333333,55.416666666666664,45.416666666666664,50.416666666666664,35.25,35.25,12.083333333333334,45.416666666666664,5.083333333333333,91.66666666666667
2016-02-29,1165.8333333333333,1235.0,148.33333333333334,67.5,115.83333333333333,251.66666666666666,99.16666666666667,75.83333333333333,114.16666666666667,55.833333333333336,45.833333333333336,50.833333333333336,35.5,35.5,12.166666666666666,45.833333333333336,5.166666666666667,93.33333333333333
