,美国,日本,英国,加拿大,德国,法国,意大利,中国,印度,巴西,俄罗斯,南非,韩国,澳大利亚,墨西哥,印度尼西亚,沙特阿拉伯,土耳其,阿根廷,欧元区,G20总计
1980-03-31,,,,,,,,,,,,,,,,,,,,,
1980-06-30,,,,,,,,,,,,,,,,,,,,,
1980-09-30,,,,,,,,,,,,,,,,,,,,,
1980-12-31,2985.557,1129.37724485404,564.9477108993731,274.776566028053,953.7724994620193,694.52918348339,478.35675559574906,191.4875,186.328579302068,237.393489892637,,89.41186440242721,65.3983775975108,149.987743732591,205.57705546599303,72.4823373974439,164.539660725118,68.82368421052631,76.96192374107011,2126.658438541158,10716.367615331168
1981-03-31,,,,,,,,,,,,,,,,,,,,,
1981-06-30,,,,,,,,,,,,,,,,,,,,,
1981-09-30,,,,,,,,,,,,,,,,,,,,,
1981-12-31,3280.818,1245.22141076415,540.7656752411581,307.246642755859,803.404797057551,609.184791792396,431.69553398058304,196.218253968254,193.49136844557304,258.015174748648,,93.1414721637596,72.9335330117706,176.895390688494,263.797827860494,85.5182334190479,184.29136013869,71.18018018018022,78.6768423665529,1844.2851228305303,10736.781611413691
1982-03-31,,,,,,,,,,,,,,,,,,,,,
1982-06-30,,,,,,,,,,,,,,,,,,,,,
1982-09-30,,,,,,,,,,,,,,,,,,,,,
1982-12-31,3402.561,1158.7314269058502,515.04891684137,314.647807408608,779.421633755138,578.1523106098409,428.257421617752,205.480916030534,200.715624830902,271.31411376841703,,85.90405740935851,78.35841617148891,194.041708043694,184.602611609517,90.1584492949921,153.24031385832302,64.3693251533742,84.30748683672401,1785.831365982731,10575.144906128617
1983-03-31,,,,,,,,,,,,,,,,,,,,,
1983-06-30,,,,,,,,,,,,,,,,,,,,,
1983-09-30,,,,,,,,,,,,,,,,,,,,,
1983-12-31,3794.706,1270.8599197429,489.61800818553905,341.866277182733,773.507930294906,553.3563129357091,444.063496940337,231.130268199234,218.262146413158,189.656506321431,,96.2041109415672,87.76055326192791,177.267290706228,156.167000432994,81.0522833837155,129.171635311143,61.8035555555556,103.979106777911,1770.927740170952,10971.360142757942
1984-03-31,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,
1984-12-31,4148.551,1345.82450083676,461.48709763234905,356.71840012354306,727.767760978627,525.033325827516,438.896930791272,260.442857142857,212.15764517765203,188.33997408658,,84.87016336593061,97.5107441191162,193.52533752576505,184.23075410539403,84.853700027651,119.624858115778,59.9376021798365,116.91505210703102,1691.698017597415,11298.385721741077
1985-03-31,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,
1985-12-31,4444.094,1427.01975971741,489.28516427104705,366.186012449652,735.218723093277,547.220981165134,453.259761687456,310.06462585034006,232.511554840372,210.87984463887705,,64.45937608668831,101.296177099377,180.643265927279,195.241069482077,85.2894883754435,103.89784649365,67.23275862068971,88.1508917281064,1735.699465945867,11837.650767472742
1986-03-31,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,,,,,,
1986-12-31,4657.627,2120.08381210991,601.452653180885,379.006836991724,1050.0926245159,764.946585850933,641.86231328744,301.31014492753604,248.98599404059,256.480852471129,,73.3547713992627,116.836246284832,182.48111359820905,134.55603467299102,79.9540725445279,86.9619227653254,75.673037037037,105.872372613857,2456.901523654273,14334.439911946363
1987-03-31,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,,,,,,,,,
1987-12-31,5007.994,2580.74842278109,745.162608269325,433.134238310709,1302.9323188248102,926.3208556149732,807.5701344487601,273.45515695067303,279.03358409222307,283.056836893838,,96.5357634183729,147.948709376434,189.495764955003,147.542558208888,75.92961755775211,85.69586114819761,87.19008168028,108.810885301253,3036.8233088885436,16615.380706721127
1988-03-31,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,,,,,,,
1988-12-31,5399.509,3125.7244344007904,910.122732123799,509.38002762655407,1406.36701637153,1010.82766215175,893.6639348408211,312.88888888888897,296.58967089593204,307.88193075226803,554.8286604361369,103.976831870957,199.59128782477703,236.16131454415304,181.611150496787,84.30017448579731,88.25607476635511,90.8751758087201,126.890235049092,3310.8586133641015,19150.304816699212
1989-03-31,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,
1989-12-31,5747.237,3109.4550478239303,926.8848167539272,567.2119932432431,1404.09292520545,1016.74223730208,930.801709003669,348.38056680161907,296.04205294466,412.99082028742,506.631299734748,108.055624081806,246.92883731140603,299.875906679217,221.40309826677,94.4514278766628,95.3444592790387,107.127191328935,76.629728760123,3351.6368715111994,19867.923614195908
1990-03-31,,,,,,,,,,,,,,,,,,,,,
1990-06-30,,,,,,,,,,,,,,,,,,,,,
1990-09-30,,,,,,,,,,,,,,,,,,,,,
1990-12-31,6004.733,3185.9046566638503,1093.16938920455,596.0755913609871,1778.16219586007,1257.6494398265302,1183.94513089851,361.56022944550705,320.979026420035,384.959818181817,517.014446227929,126.048140141869,283.365844161092,311.426665219971,261.25367569283804,106.140727333636,117.630173564753,150.65550019164402,141.352654305163,4219.75676658511,22401.783071285863
1991-03-31,,,,,,,,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,,,,,,,,
1991-12-31,6264.54,3648.06576064888,1142.79717813051,612.5277123156151,1875.7925751325904,1258.96174863388,1249.09243951928,384.510452961672,270.10534187922605,342.53409090909105,517.962962962963,135.20369823797702,330.647042837334,325.975319455531,313.139656145745,116.621996217133,132.223230974633,151.034731543624,189.719984268485,4383.84676328575,23645.302686059917
1992-03-31,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,,,,,,,,,,
1992-12-31,6680.803,3980.702922117661,1179.65952965953,594.387358318855,2141.3775829680703,1389.66307311028,1323.2043503535,428.502354788069,288.208070278013,328.19190988223204,460.290556900726,146.956150986636,355.52490306805606,325.525379566838,363.157832923734,128.026966579964,137.08785046729,159.10477299185104,228.77891730817004,4854.245006431851,25493.398488701325
1993-03-31,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,
1993-12-31,7013.738,4536.9404790382505,1061.3887222555502,579.0535617394,2078.9542174376,1314.38336807969,1067.41258767073,446.557291212148,279.29564898252903,368.2920343809601,435.083713850837,147.19474756575002,392.66571052541104,312.13392355255803,530.1607636625431,158.006700301533,132.967957276368,180.415757851616,236.74171501501505,4460.75017318802,25732.137073586513
1994-03-31,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,,,,,,,,,,,,,
1994-12-31,7455.288,4998.79754774097,1140.48974594429,579.9443468072641,2215.28263227673,1385.82277882798,1101.75015970221,566.929539493172,327.27484345942906,525.3694672957371,395.077301248464,153.512712381836,463.61982351516406,322.806641300588,553.61824790074,176.89214393150502,135.174899866489,130.65044749907102,257.44,4702.85557080692,27588.596849998554
1995-03-31,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,,,,,,,,,,,,,
1995-09-30,,,,,,,,,,,,,,,,,,,,,
1995-12-31,7772.586,5545.5636638897,1344.24017673978,605.9610900612071,2593.05309130613,1595.21934551189,1177.36942826578,738.1908962275501,360.28190964348903,769.333050986905,395.537185734854,171.735933897331,566.581003128204,368.166023166023,380.157469866849,202.132028723115,143.343124165554,169.31957901625,258.03175,5365.6418650838,30522.44461541441
1996-03-31,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,,,,,,,,,,,,
1996-12-31,8259.771,4923.39153385163,1419.64586583463,630.607994132747,2506.57655315831,1598.88921656623,1314.77650897227,868.523936530083,392.896866204516,850.426432991742,391.724890744498,163.234925380563,610.167053824007,401.341880620728,432.157945024428,227.369679374973,158.662483311081,181.464408820097,272.14975000000004,5420.24227869681,31024.02120403934
1997-03-31,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,,,,
1997-12-31,8765.907,4492.4486056389405,1560.91191879502,654.986999855554,2218.79088653282,1449.39222297145,1244.98817644384,967.753570434667,415.867563592829,883.206179730462,404.928954191876,168.97805732773003,569.7550229730351,435.6426112965861,523.449530464257,215.748998609635,165.963684913218,189.87839989464305,292.85900000000004,4913.17128594811,30534.62866961467
1998-03-31,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,,,,,,
1998-12-31,9293.991,4098.36270953124,1653.69493209672,634.0,2247.7603645659706,1496.90638203247,1272.72978699677,1037.13414176035,421.351317224941,863.7107592564352,270.955486862442,152.982984557233,383.331833681821,399.674421759479,557.461102630658,95.445547872715,146.775466666667,275.94199076418,298.94825000000003,5017.396533595211,30618.5550118553
1999-03-31,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,,,,,,,,,,,,,,,,,,,,
1999-12-31,9900.169,4635.9822240638805,1687.8304481475502,678.4121962711181,2213.87346858688,1486.91587970193,1255.00473646398,1103.84320357564,458.82105261579,599.6420243195311,195.907128350934,151.51695707853602,497.5140406422621,389.65221205664903,631.249359702389,140.00135121546202,161.717066666667,256.395932738435,283.523,4955.79408475279,31683.765366950425
2000-03-31,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,
2000-12-31,10435.744,4968.3590759565905,1665.53487668331,744.7734159315871,1966.9807011451005,1360.9590694774902,1149.66136343938,1223.7549199710502,468.3955216544581,655.448231983527,259.710142196943,151.752757215309,576.1793878196131,416.167815092908,742.061329749127,165.02101207781,189.51493333333303,274.294623164043,284.20375,4477.601134061971,32176.11806095355
2001-03-31,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,,,,,,,,,,,,,
2001-12-31,10660.465,4374.71169409087,1649.82726356701,738.981792355372,1966.38149664173,1370.3766772988602,1172.04148880587,1355.03659025152,485.44013920417103,559.983634798981,306.6020706205,135.42990592252602,547.656279894587,379.629301675108,796.064590549136,160.446947784909,184.1376,201.75312380669504,268.69675,4508.799662746461,31822.462010014304
2002-03-31,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,,,,,,,,,,
