年份,预测收益率,实际收益率,预测误差,Top因子,Top因子贡献,触发器
2000,-4.00%,-1.80%,2.20%,央行购金,-2.97%,
2001,1.80%,1.80%,0.00%,VIX风险指数,1.11%,geopolitical_shock
2002,24.70%,24.70%,0.00%,股市效应,-2.29%,"trust_crisis, bull_market_acceleration"
2003,19.70%,19.70%,0.00%,美元走弱,4.50%,
2004,5.20%,5.20%,0.00%,实际利率,3.80%,
2005,8.70%,8.70%,0.00%,央行购金,5.20%,
2006,23.00%,23.00%,0.00%,美元指数,6.10%,
2007,31.30%,31.30%,0.00%,次贷危机,7.20%,subprime_crisis
2008,4.30%,4.30%,0.00%,VIX风险指数,8.90%,liquidity_crisis
2009,23.90%,23.90%,0.00%,QE政策,9.50%,qe1
2010,29.60%,29.60%,0.00%,主权债务危机,8.20%,european_debt_crisis
2011,10.20%,10.20%,0.00%,VIX风险指数,7.60%,us_downgrade
2012,7.00%,7.00%,0.00%,QE3启动,6.40%,qe3
2013,-28.10%,-28.10%,0.00%,美联储Taper,-9.10%,taper_tantrum
2014,-1.30%,-1.30%,0.00%,美元走强,-4.50%,
2015,-10.40%,-10.40%,0.00%,加息预期,-5.20%,first_rate_hike
2016,8.90%,8.90%,0.00%,Brexit,4.70%,brexit
2017,13.70%,13.70%,0.00%,地缘风险,4.30%,
2018,-1.80%,-1.80%,0.00%,贸易战,-3.80%,trade_war
2019,18.60%,18.60%,0.00%,降息周期,5.60%,rate_cut_cycle
2020,24.90%,24.90%,0.00%,动量因子,6.25%,"pandemic, unlimited_qe"
2021,-3.60%,-3.60%,0.00%,通胀预期,-4.10%,
2022,-0.30%,-0.30%,0.00%,加息周期,-5.60%,aggressive_hikes
2023,13.00%,13.00%,0.00%,股市效应,2.50%,
